G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,epsilon,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,5,35909,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 482, 615, 692, 945, 1238, 1626, 2141, 2635, 3141, 3476, 3682, 3521, 3197, 2510, 1896, 1363, 912, 556, 320, 194, 80, 53, 15, 5, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,8,35886,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 506, 624, 790, 1056, 1402, 1778, 2317, 2839, 3312, 3711, 3797, 3468, 3010, 2260, 1659, 1149, 686, 419, 247, 140, 67, 27, 9, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,9,36790,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 593, 775, 1015, 1325, 1624, 2176, 2758, 3370, 3845, 3873, 3652, 3144, 2579, 1868, 1301, 823, 480, 272, 133, 54, 17, 7, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,6,36159,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 574, 794, 1062, 1465, 1930, 2495, 3149, 3632, 3936, 3859, 3361, 2745, 2080, 1559, 978, 668, 389, 229, 114, 45, 7, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,6,36283,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 482, 527, 689, 882, 1169, 1492, 1997, 2583, 3218, 3668, 3794, 3880, 3267, 2573, 1857, 1403, 921, 577, 362, 192, 89, 37, 12, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,0,36360,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 495, 547, 748, 975, 1316, 1693, 2155, 2752, 3140, 3587, 3691, 3581, 3199, 2551, 1902, 1346, 887, 562, 334, 175, 79, 26, 7, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,7,36519,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 559, 716, 1050, 1345, 1870, 2301, 2853, 3417, 3643, 3917, 3557, 3093, 2380, 1767, 1189, 801, 452, 269, 142, 56, 23, 13, 9, 5, 2, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,1,36153,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 450, 507, 617, 906, 1221, 1727, 2305, 2840, 3422, 3767, 3952, 3679, 3171, 2458, 1769, 1165, 710, 427, 234, 138, 51, 20, 5, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,3,36010,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 525, 639, 849, 1133, 1521, 1986, 2569, 3157, 3649, 3853, 3800, 3346, 2684, 2001, 1407, 992, 590, 351, 199, 99, 34, 7, 3, 1, 3, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,4,36245,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 529, 730, 941, 1252, 1608, 2065, 2583, 3086, 3631, 3750, 3720, 3130, 2620, 1955, 1367, 984, 582, 348, 175, 85, 19, 8, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,2,35832,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 468, 511, 665, 889, 1220, 1656, 2126, 2668, 3214, 3581, 3644, 3586, 3099, 2474, 1915, 1328, 882, 615, 360, 209, 71, 28, 5, 5, 2, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,4,35905,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 451, 556, 697, 1004, 1301, 1761, 2262, 2864, 3345, 3557, 3660, 3442, 2965, 2346, 1760, 1251, 820, 566, 334, 192, 73, 43, 24, 6, 12, 0, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,DegGreedy_private,2,35939,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 444, 583, 722, 932, 1164, 1538, 1959, 2441, 2971, 3332, 3614, 3599, 3207, 2700, 2161, 1525, 998, 664, 375, 220, 111, 52, 15, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.3,DegGreedy_private,0,36234,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 472, 553, 750, 911, 1247, 1618, 2199, 2689, 3331, 3713, 3834, 3579, 3111, 2480, 1819, 1326, 862, 528, 308, 179, 66, 28, 10, 6, 3, 1, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,DegGreedy_private,4,36390,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 493, 555, 692, 917, 1183, 1597, 2166, 2613, 3113, 3539, 3690, 3712, 3184, 2631, 1988, 1459, 998, 582, 354, 182, 81, 37, 12, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,8,36313,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 494, 564, 723, 947, 1260, 1677, 2113, 2559, 3069, 3453, 3571, 3483, 3222, 2679, 2027, 1459, 1003, 633, 383, 216, 94, 48, 16, 6, 2, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,5,36208,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 496, 611, 825, 1062, 1502, 1884, 2391, 3085, 3554, 3804, 3724, 3379, 2720, 2238, 1559, 1110, 723, 473, 241, 138, 44, 14, 15, 4, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,DegGreedy_private,0,35894,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 476, 514, 687, 913, 1193, 1618, 2076, 2678, 3239, 3801, 3728, 3563, 3042, 2504, 1904, 1325, 855, 550, 322, 176, 85, 28, 7, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,7,35823,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 462, 548, 718, 925, 1211, 1639, 2089, 2542, 3122, 3525, 3613, 3599, 3140, 2642, 1962, 1351, 910, 563, 347, 175, 83, 37, 4, 3, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,DegGreedy_private,6,36066,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 471, 594, 749, 1002, 1299, 1749, 2299, 2852, 3508, 3770, 3888, 3449, 2990, 2391, 1667, 1187, 731, 415, 241, 123, 50, 17, 6, 8, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,Degree_total_noisy,9,35939,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 485, 571, 752, 973, 1319, 1680, 2164, 2706, 3120, 3549, 3605, 3502, 2975, 2445, 1931, 1373, 907, 575, 348, 199, 99, 38, 8, 5, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,DegGreedy_private,3,35999,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 442, 504, 688, 884, 1188, 1537, 1987, 2474, 3054, 3516, 3710, 3679, 3162, 2690, 2003, 1504, 979, 634, 366, 212, 100, 50, 16, 7, 1, 1, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,DegGreedy_private,9,36034,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 452, 573, 756, 910, 1245, 1688, 2208, 2794, 3325, 3643, 3753, 3469, 3157, 2508, 1831, 1230, 792, 479, 311, 161, 83, 43, 13, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,DegGreedy_private,1,35591,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 505, 547, 731, 985, 1301, 1648, 2139, 2663, 3300, 3571, 3579, 3401, 2954, 2448, 1786, 1266, 844, 578, 361, 197, 109, 36, 20, 6, 5, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.4,DegGreedy_private,5,36019,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 500, 584, 786, 1028, 1437, 1903, 2379, 2989, 3432, 3800, 3845, 3534, 2832, 2270, 1543, 987, 673, 417, 233, 130, 53, 31, 12, 9, 1, 1, 0]"
