id,I_size,v1_size,v2_size,total_cross_edges,D
903,9609,56820,34866,181188,52
915,1,2,8,8,1
917,3231,16453,23851,58931,16
918,932,15680,72264,267058,89
912,8961,39606,23927,81857,29
920,255,6690,51360,148339,76
909,11424,49270,25678,102401,37
921,513,2838,11673,15951,8
922,1,9,36,37,2
923,117,716,3800,4401,5
925,1,6,47,49,2
926,573,3082,12358,17333,8
916,7167,53402,48307,337473,61
928,1,9,33,45,4
929,27,169,1037,1154,5
919,7308,56778,42894,272331,70
930,72,439,2335,2634,6
931,299,1717,8030,10232,9
927,4869,49025,55712,399149,61
932,65,2301,25191,77166,64
933,10,70,366,439,5
924,10436,43984,24478,88533,37
935,992,12779,68666,242441,69
937,35,228,1232,1388,4
934,4592,21900,24009,65125,20
938,23,159,874,971,4
939,5,40,253,292,5
941,8,57,248,282,5
942,156,857,4445,5219,6
944,1,1,6,6,1
943,181,5318,45295,159007,87
946,1367,7262,19885,35652,10
947,5,26,138,144,2
936,10648,56755,32133,161857,48
948,2635,13842,23261,54016,17
949,1046,17574,70329,264035,96
940,10621,48012,25715,100253,33
952,100,537,2817,3152,6
945,5897,48084,57558,405414,61
951,3047,34254,70323,447237,102
950,6145,27366,23709,69978,27
957,764,4303,15028,23168,10
958,525,10203,64768,224082,75
956,5840,26643,23558,69721,19
960,3003,15329,23943,57636,18
961,425,2495,10727,14330,7
959,1838,19698,75625,373593,79
962,917,5083,16768,27033,10
953,7127,52848,48859,340012,57
954,10703,57553,34012,180881,46
955,10576,54862,29904,139188,44
963,9594,42335,24174,84699,32
