id,graph,budget,agent,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
199,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp18.json,0,61087
200,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm17.json,0,95839
201,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf21.json,0,68840
202,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md17.json,0,54384
203,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md24.json,0,51005
204,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk5.json,0,46576
205,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj9.json,0,39353
206,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb30.json,0,62003
207,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp19.json,0,83211
208,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh33.json,0,52733
209,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp11.json,0,65318
210,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk25.json,0,89474
211,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh22.json,0,23664
212,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md5.json,0,67172
213,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm23.json,0,85616
214,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo30.json,0,93264
215,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm9.json,0,26736
216,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf11.json,0,94209
217,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn30.json,0,854
218,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mi22.json,0,90084
219,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh5.json,0,38623
220,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo6.json,0,7392
