G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,q_age_count,infection_count,infections_step
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,5,"[0.05228233696490849, 0.06248973558876663, 0.0653118609406953, 0.059481443823080835, 0.06232294617563739]",39460,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 475, 738, 979, 1429, 2015, 2840, 3693, 4488, 4776, 4720, 4088, 3052, 2167, 1439, 885, 507, 277, 151, 78, 31, 17, 5, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,2,"[0.05521434523625814, 0.05805550993595007, 0.05674846625766871, 0.05465175394001017, 0.05798512747875354]",39254,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 527, 732, 1068, 1602, 2271, 3084, 4025, 4665, 5009, 4564, 3754, 2701, 1893, 1159, 741, 431, 216, 113, 60, 24, 5, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,3,"[0.05120212339125336, 0.06536377073411069, 0.06460889570552147, 0.06863243518047789, 0.060995042492917845]",39080,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 441, 628, 906, 1281, 1825, 2527, 3380, 4136, 4676, 4720, 4231, 3262, 2421, 1690, 1057, 610, 357, 196, 80, 33, 10, 2, 1, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,1,"[0.0565106015246443, 0.0558383971095418, 0.05732361963190184, 0.05668530757498729, 0.058781869688385266]",38971,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 454, 726, 993, 1417, 2051, 2909, 3730, 4519, 4882, 4686, 3887, 2940, 1990, 1315, 818, 482, 281, 154, 76, 34, 15, 1, 1, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,9,"[0.05126384988117651, 0.06413204138610609, 0.06658997955010225, 0.06126080325368582, 0.0625]",38953,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 473, 693, 949, 1384, 2059, 2766, 3715, 4560, 4914, 4687, 3889, 2967, 1999, 1321, 868, 527, 311, 151, 69, 29, 7, 3, 1, 1, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,6,"[0.05678837072929848, 0.05641320413861061, 0.05687627811860941, 0.05516014234875445, 0.056391643059490085]",38815,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 448, 663, 935, 1355, 1893, 2631, 3629, 4355, 4902, 4825, 4092, 3102, 2161, 1344, 837, 501, 304, 136, 63, 21, 3, 2, 3, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,0,"[0.05746736211845314, 0.05945146986368862, 0.0570040899795501, 0.054143365531265884, 0.05763101983002833]",39317,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 474, 680, 1027, 1420, 2106, 2878, 3846, 4564, 4811, 4617, 3892, 3030, 2090, 1365, 856, 494, 305, 143, 69, 29, 9, 2, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,6,"[0.0500293200827135, 0.0629003120381015, 0.06793200408997956, 0.05871886120996441, 0.061260623229461755]",39252,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 501, 689, 1076, 1605, 2327, 3232, 4105, 4763, 4911, 4534, 3635, 2716, 1832, 1139, 682, 416, 252, 124, 67, 29, 7, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,3,"[0.057529088608376286, 0.05912300870422073, 0.0583461145194274, 0.05871886120996441, 0.059135977337110485]",39067,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 427, 624, 955, 1336, 1886, 2685, 3485, 4323, 4721, 4772, 4123, 3224, 2267, 1530, 919, 565, 290, 176, 83, 45, 14, 4, 3, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,7,"[0.05154161908583069, 0.0650353095746428, 0.06793200408997956, 0.058973055414336555, 0.059224504249291786]",39305,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 453, 678, 946, 1429, 2035, 2879, 3644, 4386, 4809, 4694, 4018, 3044, 2168, 1448, 879, 575, 299, 164, 96, 35, 11, 3, 2, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,0,"[0.050708311471868155, 0.06651338479224832, 0.06575920245398773, 0.06227758007117438, 0.0625]",38872,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 473, 646, 964, 1375, 2047, 2829, 3687, 4372, 4688, 4474, 3875, 3043, 2151, 1448, 950, 567, 325, 189, 88, 49, 16, 5, 1, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,2,"[0.04981327736798247, 0.0638035802266382, 0.06857106339468302, 0.06126080325368582, 0.0653328611898017]",39038,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 469, 595, 915, 1344, 1847, 2660, 3477, 4289, 4774, 4837, 3960, 3247, 2267, 1539, 964, 565, 331, 184, 90, 55, 15, 2, 1, 1, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,7,"[0.057313045893645255, 0.05895877812448678, 0.0571319018404908, 0.059989832231825115, 0.05789660056657224]",39116,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 479, 704, 1003, 1467, 2059, 2800, 3764, 4558, 4959, 4639, 3930, 2954, 2031, 1324, 810, 481, 292, 143, 77, 20, 11, 1, 0]"
montgomery,250,none,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,8,"[0.050121909817598224, 0.06331088848743636, 0.06396983640081799, 0.060498220640569395, 0.06480169971671389]",39121,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 457, 690, 1009, 1516, 2112, 2913, 3916, 4650, 4994, 4676, 3893, 2890, 2001, 1200, 771, 415, 227, 104, 53, 18, 4, 2, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,9,"[0.05774513132310731, 0.05895877812448678, 0.059049079754601226, 0.05490594814438231, 0.05701133144475921]",39035,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 451, 694, 970, 1425, 2115, 2826, 3770, 4488, 4800, 4619, 3930, 2987, 2086, 1378, 825, 494, 283, 154, 75, 35, 14, 3, 2, 1, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,1,"[0.04987500385790562, 0.08975201182460174, 0.04965490797546012, 0.050584646670055924, 0.04913243626062323]",39288,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 492, 744, 1107, 1706, 2327, 3249, 4039, 4641, 4885, 4564, 3704, 2740, 1810, 1169, 703, 361, 221, 115, 63, 29, 7, 2, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DepRound_fair,2,"[0.05080090120675288, 0.09237970110034488, 0.05240286298568507, 0.052109811896288764, 0.05010623229461757]",39120,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 505, 704, 1009, 1523, 2198, 3050, 3873, 4554, 4854, 4701, 3858, 2812, 1976, 1217, 745, 455, 243, 118, 72, 29, 10, 2, 2, 0]"
