id,graph,budget,agent,agent_params,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
158,montgomery,750,binary_segmented_greedy,{'k1': 0.31},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,75450
159,montgomery,750,binary_segmented_greedy,{'k1': 0.31},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,93426
160,montgomery,750,binary_segmented_greedy,{'k1': 0.32},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,22299
161,montgomery,750,binary_segmented_greedy,{'k1': 0.32},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,43585
162,montgomery,750,binary_segmented_greedy,{'k1': 0.32},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,64044
163,montgomery,750,binary_segmented_greedy,{'k1': 0.32},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,42557
164,montgomery,750,binary_segmented_greedy,{'k1': 0.32},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,49080
165,montgomery,750,binary_segmented_greedy,{'k1': 0.33},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,2693
166,montgomery,750,binary_segmented_greedy,{'k1': 0.33},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,95003
167,montgomery,750,binary_segmented_greedy,{'k1': 0.33},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,95259
168,montgomery,750,binary_segmented_greedy,{'k1': 0.33},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,69163
169,montgomery,750,binary_segmented_greedy,{'k1': 0.33},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,25939
170,montgomery,750,binary_segmented_greedy,{'k1': 0.34},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,48925
171,montgomery,750,binary_segmented_greedy,{'k1': 0.34},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,42941
172,montgomery,750,binary_segmented_greedy,{'k1': 0.34},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,21834
173,montgomery,750,binary_segmented_greedy,{'k1': 0.34},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,18047
174,montgomery,750,binary_segmented_greedy,{'k1': 0.34},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,26105
175,montgomery,750,binary_segmented_greedy,{'k1': 0.35},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,75766
176,montgomery,750,binary_segmented_greedy,{'k1': 0.35},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,15707
177,montgomery,750,binary_segmented_greedy,{'k1': 0.35},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,21976
178,montgomery,750,binary_segmented_greedy,{'k1': 0.35},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,44262
179,montgomery,750,binary_segmented_greedy,{'k1': 0.35},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,23776
180,montgomery,750,binary_segmented_greedy,{'k1': 0.36},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,30080
181,montgomery,750,binary_segmented_greedy,{'k1': 0.36},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,66842
182,montgomery,750,binary_segmented_greedy,{'k1': 0.36},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,61373
183,montgomery,750,binary_segmented_greedy,{'k1': 0.36},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,6776
184,montgomery,750,binary_segmented_greedy,{'k1': 0.36},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,92787
185,montgomery,750,binary_segmented_greedy,{'k1': 0.37},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,55016
186,montgomery,750,binary_segmented_greedy,{'k1': 0.37},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,9474
187,montgomery,750,binary_segmented_greedy,{'k1': 0.37},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,58053
188,montgomery,750,binary_segmented_greedy,{'k1': 0.37},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,21959
189,montgomery,750,binary_segmented_greedy,{'k1': 0.37},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,5530
190,montgomery,750,binary_segmented_greedy,{'k1': 0.38},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,94856
191,montgomery,750,binary_segmented_greedy,{'k1': 0.38},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,3748
192,montgomery,750,binary_segmented_greedy,{'k1': 0.38},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,97504
193,montgomery,750,binary_segmented_greedy,{'k1': 0.38},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,98098
194,montgomery,750,binary_segmented_greedy,{'k1': 0.38},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,13545
