id,peak,total
1484,4269,37196
1487,4180,37091
1486,4344,37505
1488,4347,37422
1490,4206,37202
1492,4146,36973
1489,4244,37270
1491,4202,37195
1493,4397,37855
1494,4362,37345
1495,4296,37494
1497,4215,37291
1496,4255,37344
1498,4159,37233
1499,4433,37304
1504,10186,72564
1500,10170,72754
1505,10328,72764
1501,10330,72496
1502,10084,71908
1503,10022,72684
1506,10141,72608
1507,10039,72551
1508,10283,72567
1510,10445,72731
1513,10116,72412
1509,10140,72793
1511,10439,72320
1516,10418,72171
1512,10087,72617
1515,9976,72241
1514,10229,72609
1519,10244,72444
1518,10182,72036
1523,10298,72407
1524,9915,72282
1522,10127,72265
1521,10295,72427
1517,10305,72381
1520,10429,72581
1525,10042,72623
1526,10003,72388
1527,10222,72234
1529,10251,72298
1528,10017,72178
1534,10083,72599
1531,10356,72444
1530,10279,72556
1532,10261,72340
1533,10076,72241
1535,10188,71929
1539,9995,72380
1536,10100,72429
1537,10080,71751
1538,10336,72311
1541,10255,72542
1540,10146,72475
1543,10072,72158
1542,9907,72223
1545,10239,72141
1547,10035,72120
1550,10285,72169
1544,10135,72376
1549,10201,72497
1551,10217,72259
1554,10240,72211
1546,10046,72396
1555,10268,72508
1556,10416,72504
1548,10001,71860
1553,10096,72234
1552,10022,72541
1557,10045,72293
1558,10127,72141
1559,10425,72880
1561,10167,72260
1560,10168,72396
1562,10345,72264
1564,10181,72293
1563,9992,72547
1566,10475,72574
1565,10273,72155
1567,10072,72180
1568,10214,72028
1572,10427,72561
1571,10273,72202
1569,10295,72862
1570,9989,71805
1574,10235,72040
1576,10094,71959
1575,9833,71566
1573,10138,72089
1578,10137,72108
1579,9951,71883
1577,10080,72171
1583,10138,72037
1582,10044,72162
1580,10011,72179
1581,10279,71993
1588,9778,72008
1586,9914,71969
1585,10230,71884
1584,10166,71707
1587,10306,72171
1589,10389,72332
1590,10127,72352
1591,10125,71778
1595,10557,71792
1593,10075,72036
1597,10286,72032
1592,10099,72292
1594,10428,72192
1596,9848,71952
1599,9887,71937
1603,10234,72420
1601,10047,71814
1600,10377,71748
1598,10168,72179
1602,10318,72342
1604,10062,71883
1607,10191,72240
1605,9892,71905
1606,10260,72257
1610,10107,72112
1611,10244,72260
1608,10069,72118
1609,10370,71886
1612,10041,72157
1614,10234,71578
1613,10036,71884
1616,10670,72198
1618,10405,72353
1617,10474,72070
1615,10469,71882
1619,10009,71876
1621,10218,71811
1620,10198,72016
1622,10326,71951
1623,10203,71819
1626,10476,71667
1628,9939,71927
1624,10138,71769
1629,10464,72052
1625,10150,72029
1627,10356,72110
1631,10365,71792
1635,10196,71692
1630,9866,71906
1632,9974,72463
1639,10109,71366
1634,10020,72031
1633,10353,71784
1638,9885,71750
1636,10101,71909
1637,9834,71780
1640,10258,71989
1643,10368,72037
1641,10138,72123
1642,10391,72082
1644,10084,71967
1645,10209,71983
1648,9776,71861
1647,10173,71479
1646,10270,72204
1649,10538,71766
1650,10291,72068
1652,10258,71802
1654,10217,71904
1651,10313,72068
1656,10303,71514
1653,10232,72023
1657,10156,71971
1658,10338,71943
1655,9966,72068
1660,10357,72013
1661,10182,71848
1659,9896,71864
